Date,Open,High,Low,Close,Adj Close,Volume
2018-09-06,228.270004,232.779999,211.179993,229.520004,229.520004,273642406
2018-09-07,229.559998,234.149994,213.830002,215.139999,215.139999,157745814
2018-09-08,215.139999,220.020004,190.080002,196.770004,196.770004,177137749
2018-09-09,196.770004,208.380005,185.009995,195.990005,195.990005,158079940
2018-09-10,195.990005,202.589996,186.919998,197.139999,197.139999,142204330
2018-09-11,197.130005,199.119995,175.960007,185.149994,185.149994,175106713
2018-09-12,185.149994,185.149994,167.600006,183.029999,183.029999,245547248
2018-09-13,183.029999,214.919998,183.029999,211.270004,211.270004,329648784
2018-09-14,211.270004,223.979996,202.800003,208.869995,208.869995,312268002
2018-09-15,208.869995,227.669998,208.380005,221.630005,221.630005,168167381
2018-09-16,221.619995,223.419998,207.899994,220.119995,220.119995,129504097
2018-09-17,220.119995,225.580002,192.509995,196.039993,196.039993,334881838
2018-09-18,196.039993,214.679993,194.000000,208.389999,208.389999,208223203
2018-09-19,208.389999,215.339996,197.429993,209.779999,209.779999,209614073
2018-09-20,209.779999,228.889999,206.970001,224.759995,224.759995,179337694
2018-09-21,224.759995,252.210007,221.250000,247.690002,247.690002,324152515
2018-09-22,247.690002,254.750000,233.009995,240.779999,240.779999,153989817
2018-09-23,240.779999,249.410004,237.240005,244.550003,244.550003,109358338
2018-09-24,244.550003,245.789993,225.100006,227.919998,227.919998,176162388
2018-09-25,227.919998,227.919998,202.899994,219.199997,219.199997,274370639
2018-09-26,219.199997,222.619995,207.309998,214.210007,214.210007,167260754
2018-09-27,214.210007,234.199997,210.050003,229.089996,229.089996,175768934
2018-09-28,229.089996,234.059998,214.970001,221.559998,221.559998,196588546
2018-09-29,221.559998,237.160004,213.330002,231.320007,231.320007,169490766
2018-09-30,231.320007,238.899994,226.139999,232.600006,232.600006,120465654
2018-10-01,232.600006,235.419998,224.539993,230.889999,230.889999,89553376
2018-10-02,230.899994,231.649994,222.429993,225.410004,225.410004,69760408
2018-10-03,225.419998,225.679993,214.979996,219.970001,219.970001,115425803
2018-10-04,219.970001,226.300003,219.009995,221.759995,221.759995,94094782
2018-10-05,221.759995,231.910004,219.059998,227.899994,227.899994,90777990
2018-10-06,227.899994,228.419998,222.820007,224.619995,224.619995,58388239
2018-10-07,224.619995,226.869995,220.750000,225.649994,225.649994,58001835
2018-10-08,225.649994,232.309998,223.649994,229.330002,229.330002,119060366
2018-10-09,229.330002,230.169998,226.080002,227.490005,227.490005,57089428
2018-10-10,227.490005,227.529999,222.630005,225.259995,225.259995,79427315
2018-10-11,225.259995,225.259995,186.880005,189.830002,189.830002,280686354
2018-10-12,189.830002,200.039993,188.429993,195.970001,195.970001,122749873
2018-10-13,195.970001,201.039993,195.410004,199.449997,199.449997,50575220
2018-10-14,199.449997,201.690002,192.669998,194.990005,194.990005,68812436
2018-10-15,194.990005,232.029999,192.880005,210.800003,210.800003,352120919
2018-10-16,210.800003,215.000000,207.779999,210.220001,210.220001,81883310
2018-10-17,210.220001,211.289993,205.490005,207.600006,207.600006,59192189
2018-10-18,207.600006,209.460007,200.389999,202.490005,202.490005,96947739
2018-10-19,202.490005,204.789993,200.979996,202.860001,202.860001,65604453
2018-10-20,202.860001,207.029999,201.759995,205.080002,205.080002,49096326
2018-10-21,205.080002,208.389999,203.809998,204.770004,204.770004,39862698
2018-10-22,204.770004,205.869995,202.449997,203.600006,203.600006,50598661
2018-10-23,203.600006,204.820007,200.509995,203.699997,203.699997,53645925
2018-10-24,203.699997,205.309998,202.440002,202.919998,202.919998,41210649
2018-10-25,202.929993,203.919998,199.789993,201.229996,201.229996,53009578
2018-10-26,201.229996,206.660004,200.460007,203.369995,203.369995,63803981
2018-10-27,203.369995,203.910004,201.649994,202.789993,202.789993,19658355
2018-10-28,202.789993,204.360001,202.500000,203.720001,203.720001,21150899
2018-10-29,203.729996,204.029999,193.940002,195.669998,195.669998,74963306
2018-10-30,195.669998,197.169998,194.199997,196.190002,196.190002,54237687
2018-10-31,196.220001,200.059998,192.449997,197.850006,197.850006,59872776
2018-11-01,197.850006,199.600006,197.169998,198.729996,198.729996,31093612
2018-11-02,198.729996,202.770004,198.729996,201.020004,201.020004,49194567
2018-11-03,201.020004,201.330002,197.520004,199.470001,199.470001,34164177
2018-11-04,199.470001,218.160004,198.610001,211.300003,211.300003,101844171
2018-11-05,211.309998,212.289993,206.779999,209.699997,209.699997,52562411
2018-11-06,209.699997,220.020004,208.160004,219.559998,219.559998,106555197
2018-11-07,219.550003,223.710007,216.479996,217.990005,217.990005,127473032
2018-11-08,218.039993,219.649994,211.070007,211.289993,211.289993,64346780
2018-11-09,211.289993,213.539993,207.539993,209.389999,209.389999,47121564
2018-11-10,209.389999,214.610001,209.039993,211.899994,211.899994,29624413
2018-11-11,211.899994,212.559998,206.610001,211.699997,211.699997,35300337
2018-11-12,211.699997,213.210007,208.970001,210.809998,210.809998,41671998
2018-11-13,210.809998,210.929993,205.660004,206.419998,206.419998,58600617
2018-11-14,206.429993,208.149994,171.509995,182.720001,182.720001,318920969
2018-11-15,182.720001,185.669998,168.570007,181.529999,181.529999,206578170
2018-11-16,181.550003,182.479996,170.759995,174.839996,174.839996,126875658
2018-11-17,174.839996,175.800003,172.570007,174.220001,174.220001,42708847
2018-11-18,174.220001,181.270004,174.050003,177.529999,177.529999,67927574
2018-11-19,177.550003,177.580002,144.850006,148.220001,148.220001,300853051
2018-11-20,148.220001,152.220001,124.360001,130.740005,130.740005,427274827
2018-11-21,130.740005,139.419998,124.500000,136.500000,136.500000,228871551
2018-11-22,136.500000,138.520004,123.889999,124.830002,124.830002,107326677
2018-11-23,124.830002,127.139999,118.180000,123.370003,123.370003,174492308
2018-11-24,123.370003,128.350006,109.620003,112.750000,112.750000,135633645
2018-11-25,112.739998,120.550003,100.959999,116.750000,116.750000,253590457
2018-11-26,116.680000,119.220001,104.870003,108.870003,108.870003,181319493
2018-11-27,108.889999,113.239998,100.769997,110.190002,110.190002,142069855
2018-11-28,110.209999,126.709999,110.199997,122.879997,122.879997,181557557
2018-11-29,122.879997,123.970001,114.139999,117.480003,117.480003,118262111
2018-11-30,117.480003,120.029999,110.669998,112.870003,112.870003,112490314
2018-12-01,112.870003,121.330002,110.870003,118.500000,118.500000,76467768
2018-12-02,118.500000,121.080002,115.360001,115.959999,115.959999,44666977
2018-12-03,115.970001,116.269997,105.930000,108.230003,108.230003,86515164
2018-12-04,108.230003,113.599998,105.550003,109.820000,109.820000,68352727
2018-12-05,109.820000,110.349998,101.199997,101.570000,101.570000,87444053
2018-12-06,101.570000,104.059998,90.050003,90.430000,90.430000,175524704
2018-12-07,90.430000,97.750000,82.080002,93.610001,93.610001,235077885
2018-12-08,93.610001,98.550003,84.809998,91.440002,91.440002,120835615
2018-12-09,91.440002,100.379997,89.349998,94.419998,94.419998,96107550
2018-12-10,94.419998,96.160004,88.860001,90.699997,90.699997,66803355
2018-12-11,90.699997,92.489998,86.190002,88.050003,88.050003,59264256
2018-12-12,88.050003,92.669998,87.139999,90.519997,90.519997,64405925
2018-12-13,90.519997,91.349998,84.669998,86.389999,86.389999,69525175
2018-12-14,86.389999,87.010002,82.160004,83.900002,83.900002,63953996
2018-12-15,83.900002,85.269997,82.050003,84.269997,84.269997,40494783
2018-12-16,84.269997,88.639999,84.190002,85.389999,85.389999,47206607
2018-12-17,85.389999,98.430000,84.900002,95.440002,95.440002,110836810
2018-12-18,95.440002,103.349998,92.930000,102.440002,102.440002,90768069
2018-12-19,102.440002,109.230003,99.849998,100.629997,100.629997,172185010
2018-12-20,100.629997,118.889999,99.750000,116.430000,116.430000,197572100
2018-12-21,116.430000,120.739998,106.879997,109.440002,109.440002,154860116
2018-12-22,109.440002,118.550003,107.239998,118.360001,118.360001,82462315
2018-12-23,118.360001,135.880005,118.320000,131.559998,131.559998,180742349
2018-12-24,131.559998,161.250000,131.529999,140.869995,140.869995,385949928
2018-12-25,140.869995,141.839996,124.029999,130.990005,130.990005,225626016
2018-12-26,130.990005,139.179993,125.680000,132.610001,132.610001,150956263
2018-12-27,132.610001,133.940002,114.669998,116.720001,116.720001,162270992
2018-12-28,116.720001,141.130005,115.349998,139.729996,139.729996,198667294
2018-12-29,139.729996,150.199997,134.380005,137.300003,137.300003,182863669
2018-12-30,137.300003,142.690002,131.979996,141.330002,141.330002,120392187
2018-12-31,141.330002,141.839996,130.820007,133.490005,133.490005,99751118
2019-01-01,133.490005,144.250000,132.309998,142.660004,142.660004,99694138
2019-01-02,142.660004,160.039993,141.600006,156.570007,156.570007,165620342
2019-01-03,156.570007,157.660004,144.580002,149.440002,149.440002,121609753
2019-01-04,149.440002,158.800003,147.320007,156.039993,156.039993,161910054
2019-01-05,156.039993,163.630005,154.699997,156.229996,156.229996,152585957
2019-01-06,156.229996,163.110001,150.490005,158.610001,158.610001,146912818
2019-01-07,158.610001,160.190002,150.179993,152.089996,152.089996,94643450
2019-01-08,152.089996,155.130005,147.759995,151.100006,151.100006,109964654
2019-01-09,151.100006,157.820007,150.050003,151.169998,151.169998,86228877
2019-01-10,151.169998,152.750000,124.070000,127.959999,127.959999,197435643
2019-01-11,127.959999,130.070007,123.099998,127.160004,127.160004,85532867
2019-01-12,127.160004,128.520004,124.660004,125.830002,125.830002,42944230
2019-01-13,125.830002,126.449997,114.750000,116.559998,116.559998,77318828
2019-01-14,116.559998,132.779999,116.489998,129.740005,129.740005,110822478
2019-01-15,129.740005,131.759995,118.190002,121.220001,121.220001,109930872
2019-01-16,121.220001,128.970001,120.419998,123.120003,123.120003,89667659
2019-01-17,123.120003,124.970001,118.330002,123.720001,123.720001,77554773
2019-01-18,123.720001,124.040001,119.389999,120.570000,120.570000,47693982
2019-01-19,120.570000,128.660004,120.570000,124.849998,124.849998,70412517
2019-01-20,124.849998,125.459999,112.959999,118.410004,118.410004,76407912
2019-01-21,118.410004,119.290001,114.480003,116.720001,116.720001,49298484
2019-01-22,116.720001,120.660004,112.040001,119.120003,119.120003,78267602
2019-01-23,119.120003,120.040001,115.989998,117.570000,117.570000,47347740
2019-01-24,117.570000,118.580002,114.629997,117.699997,117.699997,51912659
2019-01-25,117.699997,118.379997,115.129997,115.919998,115.919998,50438139
2019-01-26,115.919998,119.300003,115.690002,116.330002,116.330002,28475056
2019-01-27,116.330002,117.019997,111.580002,112.269997,112.269997,53136225
2019-01-28,112.269997,113.190002,101.940002,106.360001,106.360001,98142843
2019-01-29,106.360001,106.779999,102.949997,104.750000,104.750000,58780992
2019-01-30,104.750000,110.459999,103.680000,109.040001,109.040001,76425828
2019-01-31,109.040001,111.730003,105.750000,106.889999,106.889999,50405787
2019-02-01,106.889999,108.709999,104.139999,107.029999,107.029999,55930619
2019-02-02,107.029999,111.980003,106.250000,111.000000,111.000000,38110112
2019-02-03,111.000000,111.970001,105.820000,107.209999,107.209999,44473549
2019-02-04,107.209999,109.059998,106.440002,106.900002,106.900002,33113542
2019-02-05,106.900002,107.339996,105.879997,106.930000,106.930000,24525280
2019-02-06,106.930000,107.300003,101.250000,104.500000,104.500000,69541037
2019-02-07,104.500000,106.019997,103.690002,104.300003,104.300003,31783120
2019-02-08,104.300003,123.260002,103.510002,119.489998,119.489998,132561283
2019-02-09,119.489998,121.580002,117.489998,119.459999,119.459999,39089760
2019-02-10,119.459999,126.389999,116.330002,125.580002,125.580002,68515466
2019-02-11,125.580002,125.580002,119.730003,120.760002,120.760002,68979406
2019-02-12,120.760002,124.309998,118.250000,122.629997,122.629997,65949880
2019-02-13,122.629997,126.809998,121.110001,122.309998,122.309998,65675655
2019-02-14,122.309998,124.750000,120.070000,120.849998,120.849998,58046997
2019-02-15,120.849998,124.750000,120.620003,122.019997,122.019997,49509064
2019-02-16,122.019997,125.309998,122.019997,123.260002,123.260002,29940250
2019-02-17,123.260002,136.270004,123.070000,134.279999,134.279999,135450665
2019-02-18,134.279999,149.770004,133.110001,146.529999,146.529999,221696151
2019-02-19,146.529999,151.250000,143.979996,144.399994,144.399994,123011057
2019-02-20,144.399994,150.350006,141.389999,149.229996,149.229996,109146484
2019-02-21,149.229996,151.860001,143.639999,146.360001,146.360001,95560599
2019-02-22,146.360001,150.029999,144.309998,149.039993,149.039993,103047931
2019-02-23,149.039993,161.509995,147.169998,159.479996,159.479996,141170976
2019-02-24,159.479996,167.669998,133.149994,133.419998,133.419998,241116547
2019-02-25,133.419998,142.539993,133.210007,139.020004,139.020004,121457228
2019-02-26,139.020004,139.470001,134.460007,137.119995,137.119995,61461262
2019-02-27,137.119995,141.639999,127.720001,135.940002,135.940002,112907848
2019-02-28,135.940002,140.699997,134.009995,136.289993,136.289993,97737312
2019-03-01,136.289993,139.059998,135.690002,136.149994,136.149994,45791967
2019-03-02,136.149994,136.809998,131.130005,133.809998,133.809998,52821793
2019-03-03,133.809998,135.979996,128.880005,131.210007,131.210007,36361053
2019-03-04,131.210007,131.729996,123.959999,126.430000,126.430000,77542631
2019-03-05,126.430000,139.000000,126.050003,137.929993,137.929993,97489028
2019-03-06,137.929993,141.710007,134.699997,138.490005,138.490005,84214712
2019-03-07,138.490005,141.119995,135.979996,137.649994,137.649994,58635308
2019-03-08,137.649994,140.529999,131.610001,134.419998,134.419998,73110484
2019-03-09,134.419998,139.839996,133.740005,138.240005,138.240005,48811186
2019-03-10,138.240005,138.529999,135.070007,136.360001,136.360001,29367443
2019-03-11,136.360001,137.110001,131.960007,133.539993,133.539993,53827993
2019-03-12,133.539993,136.210007,129.139999,134.369995,134.369995,63258337
2019-03-13,134.369995,134.419998,131.610001,132.929993,132.929993,31732444
2019-03-14,132.929993,136.479996,130.300003,132.889999,132.889999,44781103
2019-03-15,132.889999,138.910004,132.860001,137.630005,137.630005,72468725
2019-03-16,137.630005,145.910004,137.570007,141.679993,141.679993,78670145
2019-03-17,141.679993,141.690002,138.100006,139.740005,139.740005,37641607
2019-03-18,139.740005,142.850006,137.190002,138.500000,138.500000,54258503
2019-03-19,138.500000,140.190002,137.729996,139.460007,139.460007,34618229
2019-03-20,139.460007,140.789993,136.720001,140.220001,140.220001,43575339
2019-03-21,140.220001,140.649994,133.529999,135.610001,135.610001,57758749
2019-03-22,135.610001,137.990005,135.089996,136.759995,136.759995,32302482
2019-03-23,136.759995,138.649994,136.429993,137.740005,137.740005,27909491
2019-03-24,137.740005,137.759995,135.020004,136.210007,136.210007,24934808
2019-03-25,136.210007,136.899994,131.770004,133.960007,133.960007,43666884
2019-03-26,133.960007,134.940002,132.800003,134.289993,134.289993,34634601
2019-03-27,134.289993,140.600006,134.210007,140.229996,140.229996,59960569
2019-03-28,140.229996,140.229996,137.630005,138.389999,138.389999,28808077
2019-03-29,138.389999,144.619995,138.020004,144.410004,144.410004,52211663
2019-03-30,144.410004,147.070007,141.179993,143.289993,143.289993,44333469
2019-03-31,143.289993,143.339996,141.389999,142.399994,142.399994,18780247
2019-04-01,142.399994,143.940002,140.080002,141.850006,141.850006,47175484
2019-04-02,141.850006,167.750000,141.600006,164.929993,164.929993,199789038
2019-04-03,164.929993,179.869995,153.029999,161.179993,161.179993,351520471
2019-04-04,161.179993,164.860001,154.289993,158.070007,158.070007,135093346
2019-04-05,158.070007,168.899994,156.779999,166.389999,166.389999,93729139
2019-04-06,166.389999,173.699997,160.960007,166.279999,166.279999,93440063
2019-04-07,166.279999,177.529999,164.940002,175.570007,175.570007,95898759
2019-04-08,175.570007,187.360001,174.619995,181.059998,181.059998,209288702
2019-04-09,181.059998,181.130005,174.960007,176.300003,176.300003,101513775
2019-04-10,176.300003,185.570007,170.270004,177.389999,177.389999,170848830
2019-04-11,177.389999,177.630005,160.759995,165.240005,165.240005,124587430
2019-04-12,165.240005,167.610001,159.970001,164.559998,164.559998,75328846
2019-04-13,164.559998,166.529999,162.539993,164.529999,164.529999,38360717
2019-04-14,164.529999,169.789993,162.410004,168.679993,168.679993,48567123
2019-04-15,168.679993,170.059998,156.330002,160.300003,160.300003,91325069
2019-04-16,160.300003,168.210007,159.520004,166.899994,166.899994,70932570
2019-04-17,166.899994,168.850006,165.039993,167.020004,167.020004,54188457
2019-04-18,167.020004,176.619995,166.639999,174.600006,174.600006,108117562
2019-04-19,174.600006,174.789993,169.820007,174.130005,174.130005,64497766
2019-04-20,174.130005,178.300003,171.169998,173.960007,173.960007,44763261
2019-04-21,173.960007,174.669998,166.690002,170.300003,170.300003,64705903
2019-04-22,170.300003,174.020004,168.630005,171.899994,171.899994,66451729
2019-04-23,171.899994,177.550003,169.210007,170.660004,170.660004,91652098
2019-04-24,170.660004,171.229996,160.820007,166.050003,166.050003,96610106
2019-04-25,166.050003,166.660004,148.720001,152.990005,152.990005,109013577
2019-04-26,152.990005,158.410004,149.600006,156.449997,156.449997,90745549
2019-04-27,156.449997,161.350006,155.139999,158.360001,158.360001,40750421
2019-04-28,158.720001,160.850006,156.990005,158.050003,158.050003,40637073
2019-04-29,158.050003,159.029999,152.360001,156.690002,156.690002,59257093
2019-04-30,156.690002,165.320007,156.690002,164.389999,164.389999,69939060
2019-05-01,164.389999,166.789993,159.990005,161.419998,161.419998,43276053
2019-05-02,161.419998,162.899994,158.419998,161.289993,161.289993,31903176
2019-05-03,161.289993,173.320007,160.270004,168.240005,168.240005,84230176
2019-05-04,168.240005,171.679993,159.929993,163.610001,163.610001,59532209
2019-05-05,163.610001,165.380005,159.190002,163.940002,163.940002,35290275
2019-05-06,163.940002,178.860001,160.660004,173.699997,173.699997,101692000
2019-05-07,173.699997,183.380005,168.009995,168.589996,168.589996,127619495
2019-05-08,168.589996,173.770004,164.699997,171.419998,171.419998,79549805
2019-05-09,171.419998,174.419998,166.539993,170.860001,170.860001,61635698
2019-05-10,170.860001,176.440002,168.410004,172.500000,172.500000,99171682
2019-05-11,172.500000,205.880005,172.470001,192.440002,192.440002,281574838
2019-05-12,192.440002,203.139999,183.070007,188.139999,188.139999,213018304
2019-05-13,188.139999,207.889999,185.789993,195.830002,195.830002,218034544
2019-05-14,195.830002,220.419998,194.970001,217.160004,217.160004,289869112
2019-05-15,217.160004,250.100006,217.000000,248.639999,248.639999,355724872
2019-05-16,248.639999,279.799988,242.460007,264.470001,264.470001,634263776
2019-05-17,264.470001,268.890015,224.699997,244.839996,244.839996,410267280
2019-05-18,244.839996,248.710007,231.300003,233.960007,233.960007,117017034
2019-05-19,233.960007,264.489990,232.449997,260.899994,260.899994,207318106
2019-05-20,260.899994,260.910004,239.270004,252.100006,252.100006,195772403
2019-05-21,252.100006,263.959991,247.779999,254.940002,254.940002,162940479
2019-05-22,254.940002,261.190002,240.479996,243.460007,243.460007,170156807
2019-05-23,243.460007,248.320007,231.149994,245.600006,245.600006,131011466
2019-05-24,245.600006,255.800003,242.580002,249.610001,249.610001,112150086
2019-05-25,249.610001,258.440002,248.339996,251.490005,251.490005,71773413
2019-05-26,251.490005,271.760010,245.970001,268.260010,268.260010,132735299
2019-05-27,268.260010,279.679993,264.230011,271.829987,271.829987,166060230
2019-05-28,271.829987,276.450012,265.299988,271.450012,271.450012,106686177
2019-05-29,271.450012,274.279999,260.730011,269.600006,269.600006,115671371
2019-05-30,269.600006,288.779999,239.639999,254.449997,254.449997,345611935
2019-05-31,254.449997,268.410004,245.259995,267.420013,267.420013,166925470
2019-06-01,267.420013,275.100006,261.010010,264.709991,264.709991,96150090
2019-06-02,264.709991,273.910004,263.880005,269.309998,269.309998,60735168
2019-06-03,269.309998,270.019989,246.940002,249.610001,249.610001,133402509
2019-06-04,249.610001,251.119995,233.869995,241.100006,241.100006,187422191
2019-06-05,241.100006,249.119995,237.770004,246.160004,246.160004,95758702
2019-06-06,246.160004,251.220001,235.800003,249.429993,249.429993,83309679
2019-06-07,249.429993,254.149994,245.050003,249.539993,249.539993,100849718
2019-06-08,249.539993,250.949997,241.839996,244.399994,244.399994,42936623
2019-06-09,244.399994,245.020004,226.619995,231.429993,231.429993,92186381
2019-06-10,231.429993,248.119995,227.660004,247.960007,247.960007,99263687
2019-06-11,247.960007,248.899994,237.630005,245.160004,245.160004,86117977
2019-06-12,245.160004,263.450012,243.130005,263.049988,263.049988,138979721
2019-06-13,263.049988,264.529999,254.110001,255.089996,255.089996,101025129
2019-06-14,255.089996,265.869995,251.729996,263.760010,263.760010,130872372
2019-06-15,263.760010,273.380005,261.809998,269.220001,269.220001,87626432
2019-06-16,269.220001,278.950012,263.709991,268.529999,268.529999,128975724
2019-06-17,268.529999,275.649994,267.690002,273.920013,273.920013,88041706
2019-06-18,273.920013,274.209991,261.190002,264.510010,264.510010,105393246
2019-06-19,264.510010,270.209991,263.660004,269.010010,269.010010,66155758
2019-06-20,269.010010,274.630005,266.670013,272.209991,272.209991,67597297
2019-06-21,272.209991,297.140015,272.209991,296.029999,296.029999,217255509
2019-06-22,296.029999,315.269989,293.630005,309.410004,309.410004,259002380
2019-06-23,309.410004,319.329987,305.230011,307.369995,307.369995,161524339
2019-06-24,307.369995,313.679993,294.209991,311.220001,311.220001,182088474
2019-06-25,311.220001,317.089996,306.130005,316.529999,316.529999,132653803
2019-06-26,316.529999,363.410004,314.130005,333.760010,333.760010,535053301
2019-06-27,333.760010,342.410004,275.010010,294.070007,294.070007,442978514
2019-06-28,294.070007,312.399994,290.450012,309.369995,309.369995,190174118
2019-06-29,309.369995,324.029999,291.720001,317.320007,317.320007,154657148
2019-06-30,317.320007,323.540009,287.019989,290.149994,290.149994,153703715
2019-07-01,290.149994,301.700012,278.070007,294.170013,294.170013,157687256
2019-07-02,294.170013,296.640015,271.799988,291.609985,291.609985,170557510
2019-07-03,291.609985,303.200012,289.829987,302.170013,302.170013,116829498
2019-07-04,302.170013,303.730011,280.380005,283.100006,283.100006,88210847
2019-07-05,283.100006,294.989990,280.579987,287.899994,287.899994,86503240
2019-07-06,287.899994,298.010010,285.559998,287.980011,287.980011,57932347
2019-07-07,287.980011,310.720001,284.459991,306.429993,306.429993,99666457
2019-07-08,306.429993,314.940002,302.559998,313.339996,313.339996,115496166
2019-07-09,313.339996,318.320007,303.089996,307.890015,307.890015,125850428
2019-07-10,307.890015,314.739990,281.619995,288.640015,288.640015,180940011
2019-07-11,288.640015,288.660004,263.000000,268.559998,268.559998,171079615
2019-07-12,268.559998,279.059998,266.459991,275.410004,275.410004,76685542
2019-07-13,275.410004,275.720001,261.809998,268.940002,268.940002,66861426
2019-07-14,268.940002,269.589996,223.070007,226.160004,226.160004,175331440
2019-07-15,226.160004,235.479996,203.630005,228.139999,228.139999,226218116
2019-07-16,228.139999,234.279999,191.029999,198.710007,198.710007,232180403
2019-07-17,198.710007,219.839996,192.479996,211.289993,211.289993,162154895
2019-07-18,211.289993,229.649994,206.320007,226.089996,226.089996,142904884
2019-07-19,226.089996,226.509995,214.009995,221.279999,221.279999,82409808
2019-07-20,221.279999,235.690002,220.330002,228.710007,228.710007,74318209
2019-07-21,228.710007,229.690002,217.429993,225.399994,225.399994,59548497
2019-07-22,225.399994,227.990005,211.880005,217.220001,217.220001,73718555
2019-07-23,217.220001,219.100006,208.550003,212.210007,212.210007,69993297
2019-07-24,212.210007,218.139999,201.320007,216.660004,216.660004,96519402
2019-07-25,216.660004,225.580002,215.729996,219.410004,219.410004,64183254
2019-07-26,219.410004,220.880005,212.990005,219.229996,219.229996,46712261
2019-07-27,219.229996,223.830002,202.839996,207.169998,207.169998,78126135
2019-07-28,207.169998,213.270004,197.960007,211.149994,211.149994,47846437
2019-07-29,211.149994,215.029999,206.429993,210.830002,210.830002,45830094
2019-07-30,210.830002,214.389999,204.580002,209.820007,209.820007,34387958
2019-07-31,209.820007,218.979996,209.729996,218.699997,218.699997,45601288
2019-08-01,218.699997,219.279999,211.039993,217.509995,217.509995,40239508
2019-08-02,217.509995,222.660004,214.990005,217.699997,217.699997,45725495
2019-08-03,217.699997,224.600006,216.250000,222.020004,222.020004,40674495
2019-08-04,222.020004,223.649994,217.500000,222.699997,222.699997,25241603
2019-08-05,222.699997,236.660004,222.699997,233.190002,233.190002,89350182
2019-08-06,233.190002,239.539993,222.669998,225.940002,225.940002,87568875
2019-08-07,225.940002,231.100006,220.800003,225.990005,225.990005,56477444
2019-08-08,225.990005,226.619995,215.179993,221.179993,221.179993,71719199
2019-08-09,221.179993,221.570007,207.029999,210.470001,210.470001,60745552
2019-08-10,210.470001,214.660004,200.919998,206.259995,206.259995,43695144
2019-08-11,206.259995,216.669998,205.949997,216.389999,216.389999,43633101
2019-08-12,216.389999,216.660004,209.880005,211.279999,211.279999,34348705
2019-08-13,211.279999,211.350006,203.380005,208.619995,208.619995,48703109
2019-08-14,208.619995,209.250000,182.820007,186.490005,186.490005,88474941
2019-08-15,186.490005,189.820007,173.669998,188.240005,188.240005,91912998
2019-08-16,188.240005,188.240005,178.619995,185.410004,185.410004,48178947
2019-08-17,185.410004,186.979996,182.119995,185.690002,185.690002,21707530
2019-08-18,185.690002,198.110001,183.490005,194.770004,194.770004,36135946
2019-08-19,194.770004,203.570007,193.130005,202.429993,202.429993,50663464
2019-08-20,202.429993,202.940002,194.889999,196.550003,196.550003,34717145
2019-08-21,196.550003,197.149994,180.300003,187.320007,187.320007,59587511
2019-08-22,187.320007,195.089996,182.869995,190.740005,190.740005,47325783
2019-08-23,190.740005,196.589996,188.720001,194.639999,194.639999,45062633
2019-08-24,194.639999,194.660004,186.449997,191.080002,191.080002,27303728
2019-08-25,191.080002,192.839996,183.160004,186.580002,186.580002,27576744
2019-08-26,186.580002,194.199997,185.889999,188.460007,188.460007,42356290
2019-08-27,188.460007,189.050003,184.740005,187.169998,187.169998,24444251
2019-08-28,187.169998,188.000000,166.360001,173.009995,173.009995,65052446
2019-08-29,173.009995,173.520004,164.190002,168.949997,168.949997,49164451
2019-08-30,168.949997,170.470001,165.949997,168.520004,168.520004,27682066
2019-08-31,168.520004,174.990005,166.289993,172.149994,172.149994,22016383
2019-09-01,172.149994,173.880005,168.240005,171.419998,171.419998,23040224
2019-09-02,171.419998,181.470001,170.770004,178.759995,178.759995,36381317
2019-09-03,178.759995,182.929993,174.830002,179.130005,179.130005,47159868
2019-09-04,179.130005,180.460007,174.059998,175.009995,175.009995,34201012
2019-09-05,175.009995,175.860001,170.070007,174.889999,174.889999,34796158
2019-09-06,174.380005,176.880005,173.490005,175.369995,175.369995,8487281
